step,t,px_actual,py_actual,pz_actual,px_ref,py_ref,pz_ref,pos_err,rot_err_deg,xerr_norm,grip_actual,grip_ref
203,2.030,0.998792,-0.001401,0.046781,1.000000,0.000000,0.044170,0.003200,1.8131,0.031807,0,0
204,2.040,0.999062,-0.001405,0.045966,1.000000,0.000000,0.043365,0.003102,1.7474,0.030655,0,0
205,2.050,0.999320,-0.001409,0.045641,1.000000,0.000000,0.043048,0.003029,1.6829,0.029527,0,0
206,2.060,0.999568,-0.001413,0.045585,1.000000,0.000000,0.043000,0.002978,1.6197,0.028426,0,0
207,2.070,0.999804,-0.001417,0.045577,1.000000,0.000000,0.043000,0.002947,1.5577,0.027347,1,1
208,2.080,1.000027,-0.001421,0.045568,1.000000,0.000000,0.043000,0.002935,1.4969,0.026291,1,1
209,2.090,1.000242,-0.001424,0.045560,1.000000,0.000000,0.043000,0.002939,1.4374,0.025258,1,1
210,2.100,1.000447,-0.001428,0.045551,1.000000,0.000000,0.043000,0.002957,1.3790,0.024250,1,1
211,2.110,1.000642,-0.001431,0.045542,1.000000,0.000000,0.043000,0.002987,1.3218,0.023262,1,1
212,2.120,1.000826,-0.001433,0.045533,1.000000,0.000000,0.043000,0.003026,1.2657,0.022296,1,1
213,2.130,1.001004,-0.001437,0.045524,1.000000,0.000000,0.043000,0.003073,1.2107,0.021353,1,1
214,2.140,1.001171,-0.001440,0.045515,1.000000,0.000000,0.043000,0.003126,1.1569,0.020431,1,1
215,2.150,1.001331,-0.001442,0.045506,1.000000,0.000000,0.043000,0.003182,1.1041,0.019531,1,1
216,2.160,1.001483,-0.001445,0.045496,1.000000,0.000000,0.043000,0.003243,1.0523,0.018650,1,1
217,2.170,1.001626,-0.001447,0.045487,1.000000,0.000000,0.043000,0.003305,1.0016,0.017791,1,1
218,2.180,1.001762,-0.001448,0.045478,1.000000,0.000000,0.043000,0.003368,0.9519,0.016952,1,1
219,2.190,1.001890,-0.001450,0.045468,1.000000,0.000000,0.043000,0.003431,0.9033,0.016134,1,1
220,2.200,1.002012,-0.001452,0.045459,1.000000,0.000000,0.043000,0.003493,0.8557,0.015338,1,1
221,2.210,1.002126,-0.001453,0.045450,1.000000,0.000000,0.043000,0.003554,0.8090,0.014560,1,1
222,2.220,1.002232,-0.001454,0.045440,1.000000,0.000000,0.043000,0.003612,0.7632,0.013802,1,1
223,2.230,1.002330,-0.001455,0.045430,1.000000,0.000000,0.043000,0.003668,0.7185,0.013066,1,1
224,2.240,1.002421,-0.001455,0.045421,1.000000,0.000000,0.043000,0.003720,0.6747,0.012350,1,1
225,2.250,1.002504,-0.001455,0.045411,1.000000,0.000000,0.043000,0.003768,0.6318,0.011654,1,1
226,2.260,1.002577,-0.001454,0.045402,1.000000,0.000000,0.043000,0.003811,0.5898,0.010977,1,1
